unit_id,m1_int,m1_slope_time,m2_int,m2_slope_time,m3_int,m3_slope_time,Change_Sign,Change_Category,size_category.x,carnegie_category.x,m1_outlier_slope,N_year,institution_name,year,pct_pell,overall_enrollment,pct_race_minority,avg_net_price_w_aid,applicants,admissions_rate,stabbr,locale_rural,hs_grad_state,pct_bachelors_2018_state,carnegie,sector,first_time_enrollment,year_0,log_fyr,log_hs,log_apps,log_price,sy_fyr,x_year,sxl_hs,sx_bach,x_rural,sx_pell,sx_race_minority,sx_price,sxl_apps,sx_admit_rate,carnegie_category.y,size_category.y,m1_fitted_link,m1_fitted_resp,m1_residual,m2_fitted_link,m2_fitted_resp,m2_residual,m3_fitted_link,m3_fitted_resp,m3_residual
125763,6.045838763610089,-0.23051258391992244,5.886543481014682,-0.2308084234172848,5.896004157807116,-0.15579934738223894,Negative,Decline (>2.5%),1k-5k,B,Outlier Decline,5,Whittier College,2023,32,813,77,32436,2797,0.8537718984626386,CA,City/Suburb,492544,34.2,Baccalaureate,private,145,4,4.976733742420574,13.107339075705214,7.936302693201959,10.387024196064448,-1.6270497917114652,4,1.8089375567576822,0.12235317719853481,City/Suburb,0.17652564777208893,1.6875547848521901,0.7487980889597265,-0.3559049402400937,0.7835664234029696,B,1k-5k,5.123788427930399,167.97050994114687,-1.8152578561859039,5.126279779453658,168.38950524252314,-1.8467971587188245,5.199994643346217,181.27127086511175,-2.7922894659735786
125763,6.045838763610089,-0.23051258391992244,5.886543481014682,-0.2308084234172848,5.896004157807116,-0.15579934738223894,Negative,Decline (>2.5%),1k-5k,B,Outlier Decline,5,Whittier College,2022,34,1131,74,28368,3014,0.7544790975447909,CA,City/Suburb,473448,34.2,Baccalaureate,private,249,3,5.517452896464707,13.067797365091815,8.01102337918644,10.25301702831399,-0.9061408944235113,3,1.7645214354257446,0.12235317719853481,City/Suburb,0.3291744160189358,1.5347117523977991,0.2326210597582037,-0.28402579402693334,0.3488218743176502,B,1k-5k,5.354301011850321,211.51607743752587,2.5063506165371603,5.353501893467667,211.34711856987838,2.51830034592445,5.324024673991832,205.2081180152347,2.956939434949856
125763,6.045838763610089,-0.23051258391992244,5.886543481014682,-0.2308084234172848,5.896004157807116,-0.15579934738223894,Negative,Decline (>2.5%),1k-5k,B,Outlier Decline,5,Whittier College,2021,36,1325,75,22091,2884,0.8248959778085991,CA,City/Suburb,467260,34.2,Baccalaureate,private,277,2,5.6240175061873385,13.054641126907947,7.96693349840484,10.002925564742185,-0.7640645971248348,2,1.7497433931412378,0.12235317719853481,City/Suburb,0.4818231842657827,1.5856594298825961,-0.5638497397250704,-0.326438988518746,0.6571358162681139,B,1k-5k,5.584813595770244,266.3506292279106,0.6482475043464131,5.583117087255312,265.899146198156,0.6761098170081032,5.511099321511361,247.42297501493698,1.8446203783882742
125763,6.045838763610089,-0.23051258391992244,5.886543481014682,-0.2308084234172848,5.896004157807116,-0.15579934738223894,Negative,Decline (>2.5%),1k-5k,B,Outlier Decline,5,Whittier College,2020,36,1490,77,28647,5038,0.723302897975387,CA,City/Suburb,477479,34.2,Baccalaureate,private,239,1,5.476463551931511,13.076275458878223,8.524764456912555,10.262804004618312,-0.960789565451671,1,1.7740446461427095,0.12235317719853481,City/Suburb,0.4818231842657827,1.6875547848521901,0.26802258167246745,0.210178314983142,0.21231970398197414,B,1k-5k,5.8153261796901665,335.40078158388553,-5.552047108871967,5.815887676875702,335.5891610610951,-5.561797407211692,5.842221802793106,344.543999710514,-6.021258631647157
125763,6.045838763610089,-0.23051258391992244,5.886543481014682,-0.2308084234172848,5.896004157807116,-0.15579934738223894,Negative,Decline (>2.5%),1k-5k,B,Outlier Decline,5,Whittier College,2019,36,1776,75,26363,7233,0.5711323102447118,CA,City/Suburb,478819,34.2,Baccalaureate,private,493,0,6.20050917404269,13.079077934418306,8.886409166849282,10.179716790941928,0.0045376790493394615,0,1.7771925902171353,0.12235317719853481,City/Suburb,0.4818231842657827,1.5856594298825961,-0.02178772675827941,0.5580701021136416,-0.4539454525599961,B,1k-5k,6.045838763610089,422.3518623296468,3.3479470345031466,6.046950276053872,422.8215726763699,3.324487745460084,6.055883864055946,426.61580924370327,3.1356297827289286
138868,4.662347231546037,0.5089206850968073,4.93910639548456,0.5086023638512699,5.900242254523943,0.27595531301129733,Positive,Growth (>2.5%),1k-5k,B,Outlier Growth,5,Point University,2023,32,2617,45,22622,3250,0.6750769230769231,GA,Town/Rural,126146,31.9,Baccalaureate,private,1084,4,6.988413181999592,11.745195245282696,8.086410275323782,10.026678163091326,1.0550035360413577,4,0.27887867197348515,-0.28315811490969484,Town/Rural,0.17652564777208893,0.05722910533868596,-0.49647264963018134,-0.21150577284915947,0.0011666342968985146,B,1k-5k,6.698029971933266,810.8069383334625,9.11946687535614,6.698558763920311,811.235799924787,9.103624456525738,6.784850216559905,884.3476163961761,6.482263637464407
138868,4.662347231546037,0.5089206850968073,4.93910639548456,0.5086023638512699,5.900242254523943,0.27595531301129733,Positive,Growth (>2.5%),1k-5k,B,Outlier Growth,5,Point University,2022,32,1943,48,19890,2355,0.24203821656050956,GA,Town/Rural,122695,31.9,Baccalaureate,private,262,3,5.568344503761097,11.717456880072456,7.764296006450518,9.897972371848018,-0.8382901215724777,3,0.24772092549222552,-0.28315811490969484,Town/Rural,0.17652564777208893,0.21007213779307696,-0.8431284126042621,-0.5213704150781592,-1.8948541795054106,B,1k-5k,6.189109286836459,487.4117687296262,-11.20458794993206,6.187440617154195,486.5991177000023,-11.171028241931054,6.0538590510721555,425.7528659582702,-8.549626256483128
138868,4.662347231546037,0.5089206850968073,4.93910639548456,0.5086023638512699,5.900242254523943,0.27595531301129733,Positive,Growth (>2.5%),1k-5k,B,Outlier Growth,5,Point University,2021,43,1641,49,20099,771,0.4656290531776913,GA,Town/Rural,124712,31.9,Baccalaureate,private,157,2,5.056245805348308,11.733762357992516,6.647688373563329,9.908425341565751,-1.5210410565342307,2,0.26603642258220733,-0.28315811490969484,Town/Rural,1.0160938731297466,0.261019815277874,-0.8166089929623942,-1.5955147734918242,-0.9158819222400437,B,1k-5k,5.680188601739652,293.00468590518744,-8.723034663664523,5.680317109120806,293.04234158950385,-8.72503832624495,5.435187616280838,229.33587138295613,-5.067939831242857
138868,4.662347231546037,0.5089206850968073,4.93910639548456,0.5086023638512699,5.900242254523943,0.27595531301129733,Positive,Growth (>2.5%),1k-5k,B,Outlier Growth,5,Point University,2020,28,1916,51,24449,1044,0.3486590038314176,GA,Town/Rural,126126,31.9,Baccalaureate,private,152,1,5.0238805208462765,11.7450366862667,6.950814768442584,10.104344594271097,-1.5641917779138286,1,0.2787005669703494,-0.28315811490969484,Town/Rural,-0.1287718887216048,0.36291517024746794,-0.26464978032064784,-1.3039159187500535,-1.4280247048936123,B,1k-5k,5.171267916642845,176.13802429547115,-1.8628688275843757,5.172737291559975,176.3970273300047,-1.8819129530998644,5.205242683471749,182.22509042070013,-2.305663332591444
138868,4.662347231546037,0.5089206850968073,4.93910639548456,0.5086023638512699,5.900242254523943,0.27595531301129733,Positive,Growth (>2.5%),1k-5k,B,Outlier Growth,5,Point University,2019,27,2340,53,17185,1419,0.28893587033121915,GA,Town/Rural,121897,31.9,Baccalaureate,private,216,0,5.375278407684165,11.710931704830182,7.257707677160043,9.751792189283934,-1.0956937393018225,0,0.24039137472729769,-0.28315811490969484,Town/Rural,-0.20509627284502824,0.46481052521706195,-1.1863582218447044,-1.008693786259649,-1.6895170437489573,B,1k-5k,4.662347231546037,105.88432572969549,9.367759580127062,4.661041712627037,105.74618193352038,9.383102692165307,5.024744251669245,152.13134379976975,4.867591087795392
